COMBO TRỌN BỘ — Liệt kê các gói giải pháp Dolic,,,,,,,,
"Combo là điểm khác biệt cốt lõi của Dolic (""không bán máy lẻ — bán giải pháp""). Định nghĩa rõ các combo sẽ làm trang Giải pháp trên web.",,,,,,,,
STT,Tên combo,Dành cho loài,Quy mô trang trại,Sản phẩm trong combo,Giá tham khảo (VND),Case study đã có?,Tình trạng,Ghi chú
1,Combo Oxy & Giám sát Tôm Trung 5ha,Tôm thẻ chân trắng,Trung (2-10ha),4x Máy sục khí 7.5kW + 1x Thiết bị đo DO/pH + 1x Tủ điều khiển,Liên hệ,Cần làm,Đã đóng gói,VÍ DỤ — xoá khi điền thật
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
