DANH MỤC SẢN PHẨM DOLIC — Lớp 3.2 Brief Website,,,,,,,,,,,
Điền từ dòng 5 trở xuống. Mỗi sản phẩm 1 dòng.,,,,,,,,,,,
STT,Nhóm sản phẩm,Tên sản phẩm,Mã SP / Model,Xuất xứ / Hãng,Công suất / Thông số chính,Giá tham khảo (VND),Đã có ảnh?,Đã có thông số?,Đã có catalog?,Đã có case study?,Mức độ ưu tiên,Ghi chú
,NHÓM 1 — Máy sục khí / Quạt nước (Aerator),,,,,,,,,,,
1,Máy sục khí / Quạt nước,Quạt nước 10 cánh 2.2kw 380V HỘP SỐ,YC-2.2Z,TRUNG QUỐC-YIMIN,2.2KW- 380V- 10 CÁNH- HỘP SỐ,13000000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên cao,
2,Máy sục khí / Quạt nước,Quạt nước 6 cánh 1.5kw 380V HỘP SỐ,YC-1.5Z,TRUNG QUỐC-YIMIN,1.5KW -380V-6 CÁNH- HỘP SỐ,9300000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên cao,
3,Máy sục khí / Quạt nước,Quạt nước 6 cánh 1.5kw 380V BÁNH RĂNG,YC-1.5,TRUNG QUỐC-YIMIN,1.5KW -380V-6 CÁNH- BÁNH RĂNG,9300000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên cao,
4,Máy sục khí / Quạt nước,Quạt nước 4 cánh 1.1kw 220V Hộp số,YC-1.1DZ,TRUNG QUỐC-YIMIN,1.1KW -220V-4 CÁNH- HỘP SỐ,8300000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên cao,
5,Máy sục khí / Quạt nước,Quạt nước 2 cánh 0.75KW 220V,YC-0.75Z,TRUNG QUỐC-YIMIN,0.75KW -220V-2 CÁNH- HỘP SỐ,5900000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên cao,
6,Máy sục khí / Quạt nước,Quạt nước 2 cánh 0.75KW 380V,YC-0.75,TRUNG QUỐC-YIMIN,0.75KW -380V-2 CÁNH- HỘP SỐ,5900000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên cao,
7,Máy sục khí / Quạt nước,"Quạt nước 4 cánh 1.5KW 380V Cánh to, bánh răng",SC-1.5 ,TRUNG QUỐC-YIMIN,1.5KW - 380V- 4 CÁNH TO- BÁNH RĂNG,9200000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên trung,
,,,,,,,,,,,,
,NHÓM 2 — Thiết bị đo & giám sát chất lượng nước,,,,,,,,,,,
1,Máy đo môi trường nước,"Máy đo oxy DOEASY-2001,3.7V ","DOEASY-2001,3.7V ",TRUNG QUỐ́C,3.7V,19000000,Một phần,Đã có,Cần làm,,Phase 1 - Ưu tiên trung,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,NHÓM 3 — Máy cho ăn tự động,,,,,,,,,,,
1,Máy cho cá ăn tự động,Máy cho ăn tự động 2 bao- 180 độ,T150D-2,TRUNG QUỐC,,3700000,Một phần,Đã có,Cần làm,,Phase 2,
2,Máy cho cá ăn tự động,Máy cho ăn tự động 4 bao- 180 độ,T150D-4,TRUNG QUỐC,,5200000,Một phần,Đã có,Cần làm,,Phase 2,
3,Máy cho cá ăn tự động,Máy cho ăn tự động 6 bao- 360 độ sò trong,JY-TM3601-DL1,TRUNG QUỐC,1200W,14800000,Một phần,Đã có,Cần làm,,Phase 2,
4,Máy cho cá ăn tự động,Máy cho ăn tự động 6 bao- 360 độ sò ngoài,JY-TM3601-DL2,TRUNG QUỐC,1500W,16800000,Một phần,Đã có,Cần làm,,Phase 2,
,"NHÓM 4 — Máy bơm, lọc, xử lý nước",,,,,,,,,,,
1,Bơm nước chìm,Bơm 11KW 380V,QY250-9.5-11,TRUNG QUỐC- YIMIN,11KW-380V-HỌNG RA - LƯU LƯỢNG NƯỚC: ,18000000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên trung,
2,Bơm nước nổi,"Bơm 7,5KW 380V",FB-200-7.5,TRUNG QUỐC- YIMIN,7.5KW-380V-HỌNG RA -200MM LƯU LƯỢNG NƯỚC: 380M3/H,12000000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên cao,
3,Bơm nước chìm,Bơm 4KW 380V biến tần,QT200-4-4,TRUNG QUỐC- YIMIN,4KW-380V-HỌNG RA: 150MM - LƯU LƯỢNG NƯỚC: 250M3/H,9300000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên cao,
4,Bơm nước chìm,Bơm 4KW 380V tiêu chuẩn,QY250-6-4,TRUNG QUỐC- YIMIN,4KW-380V-HỌNG RA: 152MM - LƯU LƯỢNG NƯỚC: 250M3/H,6900000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên cao,
5,Bơm nước chìm,Bơm 1.5KW 220V,QDX70-8-1.5,TRUNG QUỐC- YIMIN,1.5KW-220V-HỌNG RA - 100MM LƯU LƯỢNG NƯỚC: 100M3/H,4200000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên trung,
4,bơm nước nổi,Bơm 0.75KW 220V,FB-80-0.75D,TRUNG QUỐC- YIMIN,0.75KW-220V-HỌNG RA: 76 - LƯU LƯỢNG NƯỚC: 80M3/H,2600000,Đã có,Đã có,Đã có,,Phase 1 - Ưu tiên trung,
,NHÓM 5 — Máy sục khí bản treo khí nén,,,,,,,,,,,
1,Máy sục khí bản treo khí nén,"MÁY SỤC KHÍ BẢN TREO KHÍ NÉN 7.5KW-380V CFA075-35,35KPA","CFA075-35,35KPA",TRUNG QUỐC,7.5KW-380V-35KPA,114500000,,Đã có,Một phần,,Phase 1 - Ưu tiên cao,
2,Máy sục khí bản treo khí nén,"MÁY SỤC KHÍ BẢN TREO KHÍ NÉN 7.5KW- 380V CFA075-25,25KPA","CFA075-25,25KPA",TRUNG QUỐC,7.5KW-380V-25KPA,114500000,,Đã có,Một phần,,Phase 1 - Ưu tiên cao,
3,Máy sục khí bản treo khí nén,"MÁY SỤC KHÍ BẢN TREO KHÍ NÉN 15KW- 380V CFA150-35,35KPA","CFA150-35,35KPA",TRUNG QUỐC,15KW- 380V-35KPA,153000000,,Đã có,Một phần,,Phase 1 - Ưu tiên cao,
4,Máy sục khí bản treo khí nén,"MÁY SỤC KHÍ BẢN TREO KHÍ NÉN 15KW-380V CFA150-25,25KPA","CFA150-25,25KPA",TRUNG QUỐC,15KW- 380V-25KPA,153000000,,Đã có,Một phần,,Phase 1 - Ưu tiên cao,
5,Máy sục khí bản treo khí nén,"MÁY SỤC KHÍ BẢN TREO KHÍ NÉN 22KW-380V CFA220-35,35KPA","CFA220-35,35KPA",TRUNG QUỐC,22KW-380V-35KPA,177000000,,Đã có,Một phần,,Phase 1 - Ưu tiên cao,
6,Máy sục khí bản treo khí nén,"MÁY SỤC KHÍ BẢN TREO KHÍ NÉN 30KW-380V CFA300-30,30KPA","CFA300-30,30KPA",TRUNG QUỐC,30KW-380V-30KPA,177000000,,Đã có,Một phần,,Phase 1 - Ưu tiên cao,
,NHÓM 6 — Máy sục tạo oxy 3 quả phao,,,,,,,,,,,
1,Máy sục tạo oxi 3 quả phao,TAM HOA- BIẾN TẦN 2.2KW 380V 3 CHẾ ĐỘ/ MÁY,TY-2.2,TRUNG QUỐC- YIMIN,1.6- 1.1- 0.75KW 380V,7800000,Đã có,Đã có,Đã có,,,
2,Máy sục tạo oxi 3 quả phao,TAM HOA- BIẾN TẦN 1.5KW 380V 3 CHẾ ĐỘ/ MÁY,TY-1.5,TRUNG QUỐC- YIMIN,1.1- 0.75- 0.55KW 380V,6800000,Đã có,Đã có,Đã có,,,
3,Máy sục tạo oxi 3 quả phao,TAM HOA- BIẾN TẦN 1.5KW 220V 3 CHẾ ĐỘ/ MÁY,TY-1.5D,TRUNG QUỐC- YIMIN,1.1- 0.75- 0.55KW 220V,6800000,Đã có,Đã có,Đã có,,,
4,Máy sục tạo oxi 3 quả phao,TAM HOA- CƠ 0.75KW 220V,YL-0.75DP,TRUNG QUỐC- YIMIN,0.75KW 220V,6200000,Đã có,Đã có,Đã có,,,
,NHÓM 7 — Vi sinh & chế phẩm (Sắp ra mắt),,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,(Thêm sản phẩm khác — điền tự do bên dưới),,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
